# time	Ne
1.078365000026520478e-07	3.006744047293691085e+19
1.086472136381446815e-07	2.997585646952792064e+19
1.099368548812289512e-07	2.983282697187195699e+19
1.112264961243132210e-07	2.969295083954782208e+19
1.125161373673974907e-07	2.955610725853177856e+19
1.138057786104817604e-07	2.942218113006892237e+19
1.172080904717608319e-07	2.908208767138232730e+19
1.206104023330399034e-07	2.875972294801678746e+19
1.240127141943189749e-07	2.845343485921183334e+19
1.274150260555980463e-07	2.816176390479030272e+19
1.336722807563242062e-07	2.765929152086419866e+19
1.399295354570503661e-07	2.719496012524624282e+19
1.461867901577765259e-07	2.676330110914132787e+19
1.524440448585026858e-07	2.635981470223398502e+19
1.587012995592288456e-07	2.598067177904267674e+19
1.649585542599550055e-07	2.562263742119050854e+19
1.712158089606811654e-07	2.528301818019040461e+19
1.774730636614073252e-07	2.495957351363613491e+19
1.855395678064384135e-07	2.456343567963422310e+19
1.936060719514695019e-07	2.418770368834018918e+19
2.016725760965005902e-07	2.382965126424439603e+19
2.097390802415316785e-07	2.348703457564719923e+19
2.178055843865627668e-07	2.315799900603319501e+19
2.275692935132491805e-07	2.277571364276402586e+19
2.373330026399355943e-07	2.240885976092040397e+19
2.470967117666220081e-07	2.205564853489245798e+19
2.568604208933084483e-07	2.171462019584536576e+19
2.666241300199948885e-07	2.138457306488285184e+19
2.786983729368145731e-07	2.099013029482063053e+19
2.907726158536342577e-07	2.060942973777661133e+19
3.028468587704539422e-07	2.024123707455653478e+19
3.149211016872736268e-07	1.988453788098948301e+19
3.269953446040933114e-07	1.953848608379735245e+19
3.426508507135764220e-07	1.910448698981327258e+19
3.583063568230595327e-07	1.868590183073922662e+19
3.739618629325426433e-07	1.828166349164453069e+19
3.896173690420257540e-07	1.789086587226588979e+19
4.052728751515088646e-07	1.751272470085472666e+19
4.266549505578289877e-07	1.701547178282768179e+19
4.480370259641491109e-07	1.653902661475305267e+19
4.694191013704692340e-07	1.608206911109170176e+19
4.908011767767894101e-07	1.564342564198294938e+19
5.121832521831095332e-07	1.522203809103675597e+19
5.436135418267751641e-07	1.463194583587145728e+19
5.750438314704409009e-07	1.407433828923182694e+19
6.064741211141066377e-07	1.354679056400695296e+19
6.379044107577723745e-07	1.304712180242312602e+19
6.693347004014381113e-07	1.257335765058730394e+19
7.131657461805510550e-07	1.195256005703611392e+19
7.569967919596639986e-07	1.137433048607343002e+19
8.008278377387769423e-07	1.083484301250403123e+19
8.446588835178898859e-07	1.033070216337536410e+19
8.884899292970028296e-07	9.858881848334450688e+18
9.408181259824064455e-07	9.334165536050251776e+18
9.931463226678100613e-07	8.847598935664497664e+18
9.999999999999999547e-07	8.786505493419738112e+18
